S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
,,,,,,,,,,,,SYS AU Equity,478.17M,0,,,CAP CN Equity,3.35B,,
,,,,,,,,,,,,SIML US Equity,468.67M,79.17M,100,,VAR AU Equity,3.34B,339.49M,100
,,,,,,,,,,,,KDKN US Equity,458.74M,,,,IDA AU Equity,3.25B,,
,,,,,,,,,,,,ZAZA US Equity,442.53M,12.08B,100,,BXR CN Equity,3.23B,,
,,,,,,,,,,,,ADR/H CN Equity,435.18M,0,,,SGZ CN Equity,3.21B,0,
,,,,,,,,,,,,TECO US Equity,417.53M,,,,CUL AU Equity,3.21B,103.14M,100
,,,,,,,,,,,,TAE/H CN Equity,407.21M,0,,,ATG CN Equity,3.20B,0,
,,,,,,,,,,,,DNRG US Equity,398.76M,0,,,AORO CN Equity,3.20B,0,
,,,,,,,,,,,,RDMPQ US Equity,398.15M,13.72B,100,,DYG CN Equity,3.17B,0,
,,,,,,,,,,,,TCEC US Equity,386.01M,4.79B,100,,SGN CN Equity,3.15B,49.59B,100
,,,,,,,,,,,,GLRI US Equity,381.68M,8.37B,82.17,,ANZ CN Equity,3.15B,0,
,,,,,,,,,,,,CHAG US Equity,311.28M,,,,DAF AU Equity,3.15B,0,0
,,,,,,,,,,,,BLKG US Equity,304.12M,0,,,GNG CN Equity,3.14B,0,
,,,,,,,,,,,,OCEX US Equity,287.92M,,,,HRL CN Equity,3.14B,,
,,,,,,,,,,,,HDYNQ US Equity,266.92M,0,,,EVR CN Equity,3.13B,0,
,,,,,,,,,,,,TPC CN Equity,258.25M,197.91M,100,,ONV CN Equity,3.11B,0,
,,,,,,,,,,,,BKS CN Equity,213.53M,20.46M,2.26,,OS CN Equity,3.09B,,
,,,,,,,,,,,,TAMO US Equity,198.48M,,,,MEK CN Equity,3.08B,0,
,,,,,,,,,,,,MNHD US Equity,194.11M,43.87M,100,,ALT CN Equity,3.05B,0,
,,,,,,,,,,,,TRXO US Equity,189.22M,631.82M,100,,TOE CN Equity,3.01B,0,
,,,,,,,,,,,,EUENF US Equity,185.17M,0,,,FALG ZH Equity,2.98B,,
,,,,,,,,,,,,PREGF US Equity,185.11M,0,,,KLR AU Equity,2.91B,,
,,,,,,,,,,,,IXOG US Equity,165.91M,,,,MCL CN Equity,2.87B,,
,,,,,,,,,,,,OAKR US Equity,133.93M,,,,MDX AU Equity,2.87B,0,
,,,,,,,,,,,,NFEI US Equity,132.70M,,,,ARX AU Equity,2.85B,,
,,,,,,,,,,,,BSP/H CN Equity,127.64M,,,,NME AU Equity,2.76B,0,
,,,,,,,,,,,,LCTZ US Equity,119.50M,,,,SPX CN Equity,2.67B,0,
,,,,,,,,,,,,ADNY US Equity,100.49M,,,,AIIM CN Equity,2.66B,0,
,,,,,,,,,,,,OEDVQ US Equity,93.72M,13.11B,100,,SHK AU Equity,2.64B,0,
,,,,,,,,,,,,AAPH US Equity,88.74M,,,,ECR LN Equity,2.60B,0,
,,,,,,,,,,,,DLOV US Equity,85.45M,,,,SEK CN Equity,2.56B,0,
,,,,,,,,,,,,COHG US Equity,83.86M,,,,DAU AU Equity,2.46B,0,
,,,,,,,,,,,,ESCRQ US Equity,75.13M,35.93B,90.6,,TYK AU Equity,2.37B,,
,,,,,,,,,,,,GMET US Equity,69.48M,0,,,NXS CN Equity,2.35B,,
,,,,,,,,,,,,XCTGF US Equity,33.22M,0,,,GCN CN Equity,2.34B,0,
,,,,,,,,,,,,PSTRQ US Equity,28.09M,25.82B,30.83,,EAS CN Equity,2.27B,0,
,,,,,,,,,,,,LBYE US Equity,21.90M,11.21M,100,,PAL CN Equity,2.25B,0,
,,,,,,,,,,,,IGPG US Equity,13.24M,,,,LMR CN Equity,2.25B,0,
,,,,,,,,,,,,GLRP US Equity,6.94M,,,,MGI CN Equity,2.15B,0,
,,,,,,,,,,,,WNWG US Equity,2.31M,,,,KNG CN Equity,2.13B,0,
,,,,,,,,,,,,GGLR US Equity,1.99M,,,,SGM CN Equity,2.09B,0,
,,,,,,,,,,,,IVANF US Equity,1.76M,,,,AYM AU Equity,2.09B,4.01M,
,,,,,,,,,,,,TXHE US Equity,26.97k,,,,KGC CN Equity,2.06B,0,
,,,,,,,,,,,,,,,,,TRM AU Equity,2.00B,0,
,,,,,,,,,,,,,,,,,SIC CN Equity,1.96B,0,
,,,,,,,,,,,,,,,,,CUI CN Equity,1.96B,,
,,,,,,,,,,,,,,,,,JOR CN Equity,1.94B,,
,,,,,,,,,,,,,,,,,IXI CN Equity,1.94B,,
,,,,,,,,,,,,,,,,,ACS AU Equity,1.94B,0,
,,,,,,,,,,,,,,,,,AGO CN Equity,1.93B,0,
,,,,,,,,,,,,,,,,,NL CN Equity,1.90B,0,
,,,,,,,,,,,,,,,,,TCO CN Equity,1.84B,,
,,,,,,,,,,,,,,,,,TAK CN Equity,1.83B,0,
,,,,,,,,,,,,,,,,,FGC CN Equity,1.77B,0,
,,,,,,,,,,,,,,,,,SGA CN Equity,1.77B,,
,,,,,,,,,,,,,,,,,DHC CN Equity,1.76B,0,
,,,,,,,,,,,,,,,,,VRDR US Equity,1.75B,934.30M,100
,,,,,,,,,,,,,,,,,CONE CN Equity,1.72B,,
,,,,,,,,,,,,,,,,,SBU AU Equity,1.72B,0,
,,,,,,,,,,,,,,,,,EZNC/H CN Equity,1.71B,0,
,,,,,,,,,,,,,,,,,WRI CN Equity,1.69B,0,
,,,,,,,,,,,,,,,,,ATV CN Equity,1.66B,0,
,,,,,,,,,,,,,,,,,LNC CN Equity,1.66B,0,
,,,,,,,,,,,,,,,,,BSRAF US Equity,1.54B,,
,,,,,,,,,,,,,,,,,CRB CN Equity,1.54B,0,
,,,,,,,,,,,,,,,,,ETF CN Equity,1.51B,0,
,,,,,,,,,,,,,,,,,RRM/H CN Equity,1.44B,0,
,,,,,,,,,,,,,,,,,THH CN Equity,1.44B,0,
,,,,,,,,,,,,,,,,,AAX CN Equity,1.42B,0,
,,,,,,,,,,,,,,,,,MIC VN Equity,1.40B,6.24B,100
,,,,,,,,,,,,,,,,,FMG CN Equity,1.36B,,
,,,,,,,,,,,,,,,,,EVG CN Equity,1.36B,0,
,,,,,,,,,,,,,,,,,FG CN Equity,1.30B,,
,,,,,,,,,,,,,,,,,MIS CN Equity,1.28B,0,
,,,,,,,,,,,,,,,,,NMG CN Equity,1.25B,0,
,,,,,,,,,,,,,,,,,GCC/H CN Equity,1.19B,0,
,,,,,,,,,,,,,,,,,HRC CN Equity,1.19B,0,
,,,,,,,,,,,,,,,,,NSX CN Equity,1.17B,,
,,,,,,,,,,,,,,,,,VGD CN Equity,1.15B,0,
,,,,,,,,,,,,,,,,,LMG CN Equity,1.14B,0,
,,,,,,,,,,,,,,,,,CLB CN Equity,1.13B,0,
,,,,,,,,,,,,,,,,,DMR CN Equity,1.11B,0,
,,,,,,,,,,,,,,,,,NWIFF US Equity,1.10B,0,
,,,,,,,,,,,,,,,,,GBGD US Equity,1.09B,0,
,,,,,,,,,,,,,,,,,GNH CN Equity,1.09B,0,
,,,,,,,,,,,,,,,,,MNY CN Equity,1.08B,,
,,,,,,,,,,,,,,,,,DPH CN Equity,1.06B,0,
,,,,,,,,,,,,,,,,,WRP CN Equity,1.06B,,
,,,,,,,,,,,,,,,,,LEN CN Equity,1.06B,0,
,,,,,,,,,,,,,,,,,PMMEF US Equity,1.03B,,
,,,,,,,,,,,,,,,,,TYE CN Equity,1.03B,0,
,,,,,,,,,,,,,,,,,RTM CN Equity,1.02B,0,
,,,,,,,,,,,,,,,,,PLC AU Equity,989.63M,0,
,,,,,,,,,,,,,,,,,KAP CN Equity,986.65M,0,
,,,,,,,,,,,,,,,,,EMR CN Equity,972.57M,,
,,,,,,,,,,,,,,,,,CIP/H CN Equity,970.69M,4.46M,100
,,,,,,,,,,,,,,,,,BMM CN Equity,951.16M,0,
,,,,,,,,,,,,,,,,,ASI CN Equity,933.48M,0,
,,,,,,,,,,,,,,,,,VAX CN Equity,914.10M,0,
,,,,,,,,,,,,,,,,,ORS CN Equity,874.39M,0,
,,,,,,,,,,,,,,,,,CYUR US Equity,838.09M,,
,,,,,,,,,,,,,,,,,RBX AU Equity,791.29M,9.67B,100
,,,,,,,,,,,,,,,,,TGR CN Equity,739.14M,0,
,,,,,,,,,,,,,,,,,MGL IN Equity,662.06M,,
,,,,,,,,,,,,,,,,,SFMI US Equity,641.34M,,
,,,,,,,,,,,,,,,,,TZM/H CN Equity,607.13M,0,
,,,,,,,,,,,,,,,,,IRC CN Equity,588.17M,0,
,,,,,,,,,,,,,,,,,MDO CN Equity,543.72M,0,
,,,,,,,,,,,,,,,,,BGL CN Equity,528.53M,0,
,,,,,,,,,,,,,,,,,SPXP US Equity,514.80M,,
,,,,,,,,,,,,,,,,,WGX/H CN Equity,486.44M,,
,,,,,,,,,,,,,,,,,TRM CN Equity,476.48M,0,
,,,,,,,,,,,,,,,,,GLDN US Equity,431.64M,,
,,,,,,,,,,,,,,,,,NGUGF US Equity,393.84M,,
,,,,,,,,,,,,,,,,,SPAG US Equity,367.59M,,
,,,,,,,,,,,,,,,,,AMNP US Equity,344.10M,,
,,,,,,,,,,,,,,,,,SHJ CN Equity,341.02M,0,
,,,,,,,,,,,,,,,,,AGL CN Equity,336.68M,0,
,,,,,,,,,,,,,,,,,BRG/H CN Equity,323.76M,0,
,,,,,,,,,,,,,,,,,GHR/H CN Equity,311.78M,0,
,,,,,,,,,,,,,,,,,CZ/H CN Equity,300.91M,,
,,,,,,,,,,,,,,,,,SNEY US Equity,297.60M,0,
,,,,,,,,,,,,,,,,,SUI/H CN Equity,292.25M,,
,,,,,,,,,,,,,,,,,VCPS US Equity,287.14M,0,
,,,,,,,,,,,,,,,,,RGZ/H CN Equity,246.33M,0,
,,,,,,,,,,,,,,,,,PGS/H CN Equity,234.26M,0,
,,,,,,,,,,,,,,,,,MTN/H CN Equity,220.29M,,
,,,,,,,,,,,,,,,,,GCX/H CN Equity,207.49M,,
,,,,,,,,,,,,,,,,,YNGFF US Equity,165.48M,,
,,,,,,,,,,,,,,,,,PTTN US Equity,131.14M,,
,,,,,,,,,,,,,,,,,PLLVF US Equity,108.65M,,
,,,,,,,,,,,,,,,,,RNGC US Equity,82.36M,,
,,,,,,,,,,,,,,,,,COLUF US Equity,56.38M,,
,,,,,,,,,,,,,,,,,CIBG US Equity,4.81M,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,--,,,,,,
